code,name
"01",芝Ｇ１
"02",芝Ｇ２
"03",芝Ｇ３
"04",芝ＯＰ A
"05",芝ＯＰ B
"06",芝ＯＰ C
"07",芝３勝A
"08",芝３勝B
"09",芝３勝C
"10",芝２勝A
"11",芝２勝B
"12",芝２勝C
"13",芝１勝A
"14",芝１勝B
"15",芝１勝C
"16",芝未 A
"17",芝未 B
"18",芝未 C
"21",ダＧ１
"22",ダＧ２
"23",ダＧ３
"24",ダＯＰ Ａ
"25",ダＯＰ Ｂ
"26",ダＯＰ Ｃ
"27",ダ３勝Ａ
"28",ダ３勝Ｂ
"29",ダ３勝Ｃ
"30",ダ２勝Ａ
"31",ダ２勝Ｂ
"32",ダ２勝Ｃ
"33",ダ１勝Ａ
"34",ダ１勝Ｂ
"35",ダ１勝Ｃ
"36",ダ未 Ａ
"37",ダ未 Ｂ
"38",ダ未 Ｃ
"51",障Ｇ１
"52",障Ｇ２
"53",障Ｇ３
"54",障ＯＰ Ａ
"55",障ＯＰ Ｂ
"56",障ＯＰ Ｃ
"57",障１勝Ａ
"58",障１勝Ｂ
"59",障１勝Ｃ
"60",障未 Ａ
"61",障未 Ｂ
"62",障未 Ｃ
